Pasha Round,County,Constituency ,Town,Name of Pasha Centre,Operational ,Nearest LandMark,Service Description,XX__Longit,Location_A
PASHA C- Round I,KIAMBU,Kabete,Kikuyu township,,,,,"(-1.24603200000, 36.66461800000)",Accurate
PASHA C- Round II,NAIROBI CITY,Starehe Constituency,Nairobi,East Africa Institute of Certified Studies,Open for business,"Information House, Mfangano Street","ICT Courses-Diploma & Certificate, ICDL Course, Cisco Academy, Online Jobs (Digital Jobs Africa), Intel Courses, Photography, Video Shooting and Editing, Photocopy, Typesetting and Printing, Graphic Design","(-1.28723000000, 36.82812800000)",Accurate
PASHA C- Round II,KISII,Kitutu Chache Constituency,Kisii,Kitutu Resort Center,Open for business,Marani Secondary School,"Internet Services, Computer bureau services, Mpesa, Computer training - computer packages","(-0.57895000000, 34.79735400000)",Accurate
PASHA C- Round II,NAIROBI CITY,Kamukunji Constituency,Nairobi,Umbrella Pasha Center,Open for business,Eastleigh Section 3,"Internet services, ICT training, web design, networking, computer bureau services, graphic design, Mpesa, Agency banking.","(-1.28392000000, 36.85747900000)",Accurate
PASHA C- Round II,HOMA BAY,Kasipul Kabondo Constituency,Oyugis,Onetouch Tecnologies,Open for business,One Touch Technologies,"Internet services, computer bureau services, Computer training - computer packages, Mpesa","(-0.50555000000, 34.73414100000)",Accurate
PASHA C- Round II,KAKAMEGA,Lurambi Constituency,Kakamega,Riverterrace Pasha Center,Open for business,River Terrace Tech World Pasha,"Internet services, computer bureau services, Computer training - computer packages, Software development, graphic design, web design, networking, ICT consultancy - www.riverterrace.co.ke","(0.28913000000, 34.75005600000)",Accurate
PASHA C- Round II,NAKURU,Molo Constituency,Molo,Molo Pasha Center,Open for business,Molo Police Station,"Internet services, computer bureau services, Computer training - computer packages, supply of ICT equipments","(-0.24629000000, 35.73440500000)",
PASHA C- Round II,NYANDARUA,Ndaragwa Constituency,Ndaragwa,Wanicom Pasha Center,Open for business,Ndaragwa Polce station,"Internet services, computer bureau services, Stationary, mobile phone accessories, accounting consultancy.","(-0.05889000000, 36.52860200000)",
PASHA C- Round II,MERU,Ntonyiri Constituency,Maua,Iware Systems,Open for business,Oilibya Maua Gas Station,"Internet services, Computer bureau services, Computer package training, computer accessories.","(0.23741000000, 37.94009300000)",Accurate
PASHA C- Round I,KAKAMEGA,Matungu,Bulimbo,,,St James Bulimbo Girls Secondary,,"(0.43458070000, 34.51317970000)",Accurate
PASHA C- Round II,NAIROBI CITY,Dagoretti Constituency,Nairobi,Dagorreti Digital Village,Open for business,Dagoretti Empowerment Centre┬á,"Internet services, bureau services, ICT training: computer application, graphic design, computerised accounting, entreprenuership, communication skills, online work, work place training, web design, programming.","(-1.28780000000, 36.74140100000)",Accurate
PASHA C- Round II,NAKURU,Naivasha Constituency,Gilgil,Wweb Pasha Center,Open for business,Hunters Building - Airtel Money Gilgil,"Internet services, Computer training - computer packages, computer bureau services - Printing, photocopy, passports","(-0.50163000000, 36.32526300000)",Accurate
PASHA C- Round II,KAKAMEGA,Malava Constituency,Kakamega,Malava Pasha Center,Open for business,Kakunga market,"Computer training - computer packages, computer bureau services - Printing, photocopy, passports","(0.37674000000, 34.85266100000)",
PASHA C- Round II,NAROK,Narok North Constituency,Narok,Hubnet Communications,Open for business,Naivas Supermarket - Narok,"Internet Services - Cyber/online services, Computer training, computer bureau services.","(-1.08845000000, 35.86953500000)",Accurate
PASHA C- Round II,MURANGA,Gatanga Constituency,Gatanga,Eixma Technologies,Open then Closed,Kirwara Market,"computer bureau services, Internet services, Mpesa, photgraphy","(-0.92956000000, 36.94308600000)",
